timestamp,signal,source,price,position,entry_price,entry_date,rsi_size,fomc_size,sentiment,probability,fed_date,equity,live_equity,drawdown,latency_ms,short_vol,long_vol,executed_size,order_status,filled,remaining,pnl,slippage,trade_type,direction,exit_price,volatility_10d,rsi_14
2025-05-05T16:24:22.837025,HOLD,,3329.95,,,,592.6850595832996,254.0078826785569,STAY,96.9,2025-05-07,100000.0,100000.0,0.0,217.9970741271973,0.0941157290618738,0.0900744497110451,0.0,,0.0,0.0,0,0.0,hold,,,0.0941157290618738,65.567090097361
2025-05-06T03:15:00.445006,HOLD,,3329.95,,,,592.6850595832996,254.0078826785569,STAY,96.9,2025-05-07,100000.0,100000.0,0.0,1.6491413116455078,0.0941157290618738,0.0900744497110451,0.0,,0.0,0.0,0,0.0,hold,,,0.0941157290618738,65.567090097361
2025-05-06T07:15:00.541344,HOLD,,3329.95,,,,592.6850595832996,254.0078826785569,STAY,96.9,2025-05-07,100000.0,100000.0,0.0,0.7710456848144531,0.0941157290618738,0.0900744497110451,0.0,,0.0,0.0,0,0.0,hold,,,0.0941157290618738,65.567090097361
2025-05-06T08:12:33.286872,HOLD,,3377.42,,,,693.5210625196602,297.2233125084258,STAY,96.9,2025-05-07,100000.0,100000.0,0.0,226.51171684265137,0.0741522224787938,0.0875487942345351,0.0,,0.0,0.0,0,0.0,hold,,,0.0741522224787938,73.04231352064227
2025-05-06T16:39:18.183619,HOLD,,3428.82,,,,598.7408373753432,256.6032160180042,STAY,96.9,2025-05-07,100000.0,100000.0,0.0,206.0258388519287,0.0482639869956545,0.0881282063621964,0.0,,0.0,0.0,0,0.0,hold,,,0.0482639869956545,80.1575260635917
2025-05-07T08:44:30.674410,HOLD,,3388.3,,,,565.6339300637788,242.41454145590524,STAY,99.0,2025-05-07,100000.0,100000.0,0.0,209.8560333251953,0.0847060686337315,0.0867397359679285,0.0,,0.0,0.0,0,0.0,hold,,,0.0847060686337315,62.829311599050406
2025-05-07T12:44:31.114311,HOLD,,3385.28,,,,574.2640994343559,246.11318547186684,STAY,99.0,2025-05-07,100000.0,100000.0,0.0,424.8690605163574,0.083871081000133,0.0866137984546189,0.0,,0.0,0.0,0,0.0,hold,,,0.083871081000133,61.98495528084548
2025-05-07T16:44:31.444970,HOLD,,3368.89,,,,560.3146174793947,240.1348360625977,STAY,99.0,2025-05-07,100000.0,100000.0,0.0,269.82808113098145,0.0857925925377754,0.086848768353478,0.0,,0.0,0.0,0,0.0,hold,,,0.0857925925377754,56.608582255106
2025-05-08T08:25:56.413576,HOLD,,3353.26,,,,526.2088221850803,225.5180666507487,STAY,99.0,2025-05-07,100000.0,100000.0,0.0,223.79493713378903,0.0971621542200389,0.0886913616142894,0.0,,0.0,0.0,0,0.0,hold,,,0.0971621542200389,50.511065904298505
2025-05-08T12:25:56.768379,HOLD,,3311.13,,,,495.53077348066415,212.3703314917132,STAY,99.0,2025-05-07,100000.0,100000.0,0.0,279.81114387512207,0.0947134626485741,0.0891518955090195,0.0,,0.0,0.0,0,0.0,hold,,,0.0947134626485741,41.10672185529821
