timestamp,signal,source,price,position,entry_price,entry_date,rsi_size,fomc_size,sentiment,probability,fed_date,equity,live_equity,drawdown,latency_ms,short_vol,long_vol,executed_size,order_status,filled,remaining,pnl,slippage,trade_type,direction,exit_price,volatility_10d,rsi_14
2025-05-05T16:24:22.837025,HOLD,,3329.95,,,,592.6850595832996,254.00788267855694,STAY,96.9,2025-05-07,1101293.51,1101293.51,0.0,217.99707412719727,0.09411572906187385,0.09007444971104514,0,None,0,0,0,0,hold,,,0.09411572906187385,65.567090097361
2025-05-06T03:15:00.445006,HOLD,,3329.95,,,,592.6850595832996,254.00788267855694,STAY,96.9,2025-05-07,1101293.51,1101293.51,0.0,1.6491413116455078,0.09411572906187385,0.09007444971104514,0,None,0,0,0,0,hold,,,0.09411572906187385,65.567090097361
2025-05-06T07:15:00.541344,HOLD,,3329.95,,,,592.6850595832996,254.00788267855694,STAY,96.9,2025-05-07,1101293.51,1101293.51,0.0,0.7710456848144531,0.09411572906187385,0.09007444971104514,0,None,0,0,0,0,hold,,,0.09411572906187385,65.567090097361
2025-05-06T08:12:33.286872,HOLD,,3377.42,,,,693.5210625196602,297.2233125084258,STAY,96.9,2025-05-07,1102153.58,1102153.58,0.0,226.51171684265137,0.07415222247879386,0.08754879423453514,0,None,0,0,0,0,hold,,,0.07415222247879386,73.04231352064227
2025-05-06T16:39:18.183619,HOLD,,3428.82,,,,598.7408373753432,256.6032160180042,STAY,96.9,2025-05-07,1102153.58,1102153.58,0.0,206.0258388519287,0.048263986995654595,0.08812820636219647,0,None,0,0,0,0,hold,,,0.048263986995654595,80.1575260635917
2025-05-07T08:44:30.674410,HOLD,,3388.3,,,,565.6339300637788,242.41454145590524,STAY,99.0,2025-05-07,1102258.92,1102258.92,0.0,209.8560333251953,0.08470606863373156,0.08673973596792856,0,None,0,0,0,0,hold,,,0.08470606863373156,62.829311599050406
2025-05-07T12:44:31.114311,HOLD,,3385.28,,,,574.2640994343559,246.11318547186684,STAY,99.0,2025-05-07,1102258.92,1102258.92,0.0,424.8690605163574,0.083871081000133,0.08661379845461896,0,None,0,0,0,0,hold,,,0.083871081000133,61.984955280845476
2025-05-07T16:44:31.444970,HOLD,,3368.89,,,,560.3146174793947,240.1348360625977,STAY,99.0,2025-05-07,1102258.92,1102258.92,0.0,269.82808113098145,0.08579259253777541,0.08684876835347802,0,None,0,0,0,0,hold,,,0.08579259253777541,56.608582255106
2025-05-08T08:25:56.413576,HOLD,,3353.26,,,,526.2088221850803,225.5180666507487,STAY,99.0,2025-05-07,1101918.86,1101918.86,0.0,223.79493713378906,0.09716215422003893,0.08869136161428942,0,None,0,0,0,0,hold,,,0.09716215422003893,50.511065904298505
2025-05-08T12:25:56.768379,HOLD,,3311.13,,,,495.53077348066415,212.37033149171322,STAY,99.0,2025-05-07,1101918.86,1101918.86,0.0,279.81114387512207,0.09471346264857412,0.08915189550901952,0,None,0,0,0,0,hold,,,0.09471346264857412,41.106721855298204
2025-05-08T16:25:57.064125,HOLD,,3309.25,,,,485.747789288077,208.17762398060444,STAY,99.0,2025-05-07,1101918.86,1101918.86,0.0,279.48689460754395,0.09728462605611012,0.08934526144899217,0,None,0,0,0,0,hold,,,0.09728462605611012,41.03978198473573
2025-05-09T09:03:41.274781,HOLD,,3332.23,,,,568.368309869537,243.58641851551587,STAY,99.0,2025-05-07,1101578.98,1101578.98,0.0,225.52871704101562,0.09746380952578748,0.08883230236006669,0,None,0,0,0,0,hold,,,0.09746380952578748,48.373534221431385
2025-05-09T13:03:41.592684,HOLD,,3338.82,,,,549.8664998039028,235.65707134452975,STAY,99.0,2025-05-07,1101578.98,1101578.98,0.0,285.66670417785645,0.06257469047730299,0.0888007226236478,0,None,0,0,0,0,hold,,,0.06257469047730299,50.06374339730235
